Date,DownstateNY_Bench,NorthNJ_Bench,UpstateNY_Bench,NY_Bench,NJ_Bench,PR_Bench,VI_Bench,NYC_Bench,LongIsland_Bench,PtnmRcklndWstchtr_Bench,Poughkeepsie_Bench,Kingston_Bench,BrgnHdsnPassc_Bench,NewBrunswick_Bench,Newark_Bench,Albany_Bench,Binghamton_Bench,Buffalo_Bench,Elmira_Bench,GlensFalls_Bench,Ithaca_Bench,Rochester_Bench,Syracuse_Bench,Utica_Bench,Watertown_Bench
05/31/2008,6009315.8968,2979536.0455,2277991.6249,8792505.684,4070278.2879,1010925.7193,45800.947795,3833340.9483,1271691.0066,582362.30139,259430.30048,62491.340015,907943.26267,1048965.4808,1022627.3021,449118.32327,114552.85688,550520.71168,40932.864527,56328.313682,55366.358663,515352.52998,320565.24617,132103.08766,43151.332361
06/30/2008,6009642.4508,2972426.9017,2279336.7736,8795936.8826,4063315.5969,1024815.0621,45843.791913,3837421.3608,1268886.9677,581430.17645,259608.27821,62295.667605,906112.08235,1045802.605,1020512.2144,449258.36056,114682.93605,551519.51624,40834.912945,56435.412403,55594.358939,514836.23925,321013.64619,132192.55153,42968.839514
07/31/2008,6016470.2644,2967248.9741,2280890.2349,8807019.6791,4056633.9318,1011306.4863,45856.96243,3841531.0395,1272301.5571,581603.01811,258930.04632,62104.60337,903406.26888,1045723.7725,1018118.9327,449394.65427,114876.39624,552458.86656,40816.480746,56327.677625,55690.936321,515135.02501,320997.20156,132192.81853,43000.178029
08/31/2008,6014877.9506,2960574.7557,2278940.6575,8802240.0376,4045164.1775,1012255.0459,45709.082771,3843534.0663,1270149.5721,580262.84705,258851.84435,62079.620801,901247.95377,1042624.2734,1016702.5285,449171.03983,114402.5995,551133.95037,40804.355868,56598.607956,55391.024156,514473.35002,322166.17003,131922.4416,42877.118201
09/30/2008,6003834.8634,2950898.5143,2272076.5987,8786992.3672,4032083.3109,1014406.7932,45320.323322,3838755.7731,1265357.7552,579396.18373,258507.95474,61817.196645,897743.55214,1039195.8073,1013959.1548,447622.08699,113958.26328,550662.11961,40673.761989,55821.083946,54856.318023,514120.71572,320737.96624,130847.16164,42777.121201
10/31/2008,5985417.4645,2939840.404,2269817.7436,8759390.5382,4018832.5426,1006581.887,45365.525403,3826736.7479,1262394.3058,577224.21583,257538.69787,61523.497069,896673.79897,1035861.0047,1007305.6003,447507.88795,113624.13369,550026.65137,40221.672216,55703.214666,55069.076408,512688.63823,320131.16911,131935.7901,42909.509821
11/30/2008,5966690.011,2928426.9946,2259703.4783,8727668.3036,3995164.6127,1002109.1152,45081.323659,3817108.2269,1256808.1214,574854.70081,256656.5498,61262.41207,896332.75861,1030604.4829,1001489.753,446081.70378,113214.96065,546870.50702,39918.236477,55433.217708,54892.649103,510328.93894,318572.41026,131658.16323,42732.691093
12/31/2008,5948894.1145,2912756.7007,2254155.4667,8698487.8517,3978370.1476,1009362.1552,44846.075372,3807171.4635,1252491.0406,572261.43932,255758.35793,61211.813114,892783.25638,1023178.3174,996795.1269,445034.41649,113029.56603,544965.28272,39651.145348,55250.09275,54877.918342,509156.53983,317720.47273,131569.35484,42900.677575
01/31/2009,5917663.5401,2893468.2552,2243208.6722,8656298.3555,3961985.452,991419.02696,44495.707803,3787806.116,1246755.5721,567655.88657,254449.84408,60996.121365,884692.62403,1017372.1937,991403.43742,443530.77631,112231.83299,540992.87202,39519.110089,55469.722872,54840.555014,507230.95921,316698.22915,129992.47152,42702.143017
02/28/2009,5896797.8233,2880351.2809,2237450.1765,8630070.0172,3944165.0018,985097.9004,44390.403017,3770911.8073,1246215.327,565083.80885,253590.04594,60996.834139,881678.47408,1012250.4814,986422.32545,442994.26881,112302.54209,539101.45395,39277.51586,55629.98515,54579.3088,504486.05609,315577.91738,130867.16264,42633.965759
03/31/2009,5869221.2587,2864184.8454,2229594.8441,8592293.0845,3922957.05,980408.20628,43967.343666,3751820.4961,1241028.9677,562979.84595,252393.04286,60998.90611,877547.57539,1005936.7015,980700.56857,441388.39769,111810.4764,537765.44288,39310.669137,55647.119732,54527.373231,502606.18084,313773.31906,130155.63677,42610.228369
04/30/2009,5829133.1146,2851806.0337,2217043.4389,8531637.6292,3911384.1127,978891.089,43653.54379,3729272.8429,1231833.8434,557062.91984,250502.9262,60460.582302,874383.89899,1000583.0068,976839.1279,439962.01385,110925.20969,535543.69881,38407.663376,55380.399619,54135.34078,498458.41578,311999.33262,129822.61443,42408.74994
